gene,AB5075_UT1,AB5075_T1,AB5075_UT2,AB5075_T2,AB5075_UT,AB5075_T3
aspA,497,44,69,109,75,46
ABUW_2105,653,48,49,36,108,116
pcaT,0,13,55,54,30,58
ABUW_2107,2721,10,65,62,64,76
ABUW_2108,4818,1,17,13,25,41
ABUW_2109,1910,2,19,13,19,15
ABUW_2110,4,14,44,58,69,62
ABUW_2111,30,16,11,16,14,18
ABUW_2112,102,1,3,5,11,5
ABUW_2113,2512,2,16,24,5,4
ABUW_2114,1583,3,5,2,8,2
chrA1,10,2,3,2,2,4
ABUW_2116,473,22,13,3,40,8
ABUW_2117,978,2,1,1,0,0
ABUW_2118,304,10,1,1,8,0
ABUW_2119,680,8,3,5,10,3
ABUW_2120,311,0,5,6,2,0
ABUW_2121,0,7,3,3,19,8
ABUW_2122,136,4,2,6,4,8
ABUW_2123,120,0,2,7,0,4
ABUW_2124,7,11,29,39,37,53
ABUW_2125,58,5,14,29,15,51
ABUW_2126,76,1,14,34,17,15
budC,39,19,53,90,38,127
lpdA2,55,21,99,178,46,164
acoC,27,3,10,26,8,31
acoB,30,5,5,11,12,25
acoA,0,4,11,15,5,16
lipA2,0,0,3,4,7,0
ABUW_2133,0,1,18,39,14,38
ABUW_2134,0,84,268,435,35,387
ABUW_2135,4,16,65,102,67,91
aroC,0,21,47,40,51,84
prmB,426,18,20,10,43,68
trpB2,1973,0,12,13,5,11
ABUW_2139,15884,0,0,0,0,0
ABUW_2140,4556,222,184,427,353,1644
ABUW_2141,2544,93,67,203,50,765
ABUW_2142,2338,52,23,48,5,311
ABUW_2143,0,34,35,110,15,308
ABUW_2144,1893,26,16,47,19,625
ABUW_2145,682,13,24,51,23,154
ABUWs039,1979,51,23,36,40,240
rnd,709,424,1763,1706,687,1969
recR,487,627,1282,1030,342,1669
ABUW_2148,1092,3436,2304,2694,3899,2511
ABUW_2149,137,3,20,14,5,58
metZ,58,9,3,13,4,30
ABUW_2151,162,104,950,264,407,406
ABUW_2152,49,0,2,2,0,0
ABUW_2153,0,76,326,525,60,339
ABUW_2154,230,24,115,203,30,227
ABUW_2155,80,3,37,59,37,45
ABUW_2156,2,2,11,24,4,26
ABUW_2157,8141,0,3,3,5,3
ABUW_2158,4539,1400,17232,6654,72874,6056
ABUW_2159,4217,651,3905,1730,33644,3007
ABUW_2160,1947,96,657,409,164,1146
ABUW_2161,3194,19256,3229,1496,13462,9256
ABUW_2162,106,586,1177,1444,1155,721
ABUW_2163,129,531,927,752,565,673
lpxB,2376,54201,94793,86835,59899,256168
ABUW_2165,1059,10418,19778,26700,10133,28900
ABUW_2166,0,477,4521,5857,541,3131
ABUW_2167,0,26928,36508,45636,10763,54245
ABUW_2168,257,13194,29239,32659,6885,22870
ABUW_2169,5683,7,8,5,1,46
aro2,137,238,1269,747,1129,1693
cobS,271,844,2957,1734,3350,4477
ABUW_2172,241,157,2063,1346,1183,1205
cobC,139,5,7,22,16,37
cobT,241,26,11,12,16,71
cobU,177,233,48,69,61,414
ABUW_2176,139,372,1360,1072,1790,2751
ABUW_2177,3448,59,505,403,298,1452
ABUW_2178,18463,1,11,7,7,9
ABUW_2179,358,34,336,297,101,786
ABUW_2180,1,642,767,385,606,1796
ABUW_2181,6069,69,351,195,79,435
ABUW_2182,15852,89,624,339,144,486
ABUW_2183,9361,36,450,251,86,460
ABUW_2184,16274,0,0,0,0,0
ABUW_2185,4082,76,396,97,298,907
ABUW_2186,4753,60,301,110,94,679
ABUW_2187,4330,0,23,9,0,62
ABUW_2188,7187,13,82,59,24,357
ABUW_2189,2964,26,74,66,34,514
ABUW_2190,11488,28,23,29,27,316
ABUW_2191,4506,183,35,46,57,731
ABUW_2192,13528,8,14,26,9,158
ABUW_2193,5036,7,35,37,13,172
ABUW_2194,278,0,0,0,0,0
alkM,983,0,0,0,0,0
alkR,2041,0,0,0,0,0
ppiD,1953,0,0,0,0,0
hup,1054,3,0,1,22,83
ABUW_2199,1,42,217,181,73,551
ABUW_2200,2406,273,1161,1074,523,2318
iscR,10160,1812,12491,4883,6616,10631
iscS,13710,1703,4142,1465,1142,3087
iscU,5865,715,3601,1230,828,2798
iscA,2393,176,1360,660,1010,1608
hscB,16918,534,1155,633,2341,4196
hscA,374,63,489,418,537,800
fdx,2677,461,940,856,744,2700
ABUW_2208,2186,173,347,258,151,912
ABUW_2209,578,251,314,259,138,839
mfd,372,271,1064,769,714,2266
ABUW_2211,1487,59,131,137,44,159
ABUW_2212,788,47,35,26,50,77
ABUW_2213,496,176,69,75,82,149
rraA,1643,19,31,21,12,38
ABUW_2215,2957,0,2,1,0,1
rpsT,10502,252,542,323,312,494
ABUW_2217,0,129,169,182,90,195
cysQ,4656,10382,4184,4149,6538,22001
ABUW_2219,4143,962,2938,1538,3239,4921
ABUW_2220,5435,371,2676,1381,2726,3217
ABUW_2221,588,328,2037,1360,1294,1332
ABUW_2222,2426,2583,13923,22435,4627,5076
ABUW_2223,949,51,115,193,109,131
ABUW_2224,3327,21,141,219,275,131
ABUW_2225,1065,364,1954,1542,1996,4177
ABUW_2226,220,92,677,464,500,1267
ABUW_2227,469,7,1,0,5,7
ABUW_2228,409,9,1,0,3,7
ABUW_2229,0,36,110,114,67,294
ABUW_2230,0,532,6905,3442,2943,11922
ABUW_2231,0,31,92,453,277,1278
ABUW_2232,0,35,124,558,292,1723
ABUW_2233,0,63,151,527,376,1423
glcB,0,6,98,357,47,406
ABUW_2235,1,59,44,34,60,257
ABUW_2236,8,63,554,1239,192,203
ABUW_2237,470,19,572,198,298,214
ABUW_2238,128,753,5245,3130,4480,3210
pyrF,81,2316,15810,8297,13798,8539
ABUW_2240,15,100,1432,852,225,701
ihfB,713,0,0,1,0,0
rpsA,138,2054,1088,2194,1734,13642
cmk,24592,13407,3384,6588,8285,78391
ABUW_2244,1621,2879,2039,3465,1563,19931
ABUW_2245,2744,6680,4334,6650,5479,36076
ABUW_2246,1346,370,1743,2684,478,8670
ung,3362,1427,1740,2016,2224,18535
ABUW_2248,4258,3650,1455,1514,3604,12055
gspK,4777,911,4150,4335,2957,14330
gspJ,1325,283,2492,2671,380,5739
gspI,1622,3476,7198,5553,6659,13310
gspG,904,718,3650,2564,4020,6237
ABUW_2253,0,4919,8967,5607,14062,13418
ABUW_2254,2,7699,3642,2520,12192,10445
pilZ,9,21,140,120,58,389
holB,0,84,368,284,251,1229
kdsB,0,331,958,700,806,3378
lpxK,0,517,1240,951,1765,6264
msbA,0,171,664,565,747,2236
ABUW_2260,0,0,3,3,0,16
ABUW_2261,0,167,2966,2023,2045,5951
spoOJ,0,1653,4325,3030,3504,11219
soj,5079,6045,17225,10074,28943,8696
gidB,1230,1190,5332,9202,10701,4829
ABUW_2265,191,896,2085,1275,1961,4150
ABUW_2266,1203,3754,12473,10941,13615,14217
ostA,2464,41,224,143,58,337
surA,7963,464,1212,1254,902,7582
fba,3406,335,1201,1022,518,2449
ABUW_2270,20983,31,327,486,271,971
pgk,121,632,291,154,436,2767
ABUW_2272,122,126,1390,559,559,1276
maf2,106,125,150,155,135,1134
ABUW_2274,541,224,132,104,168,786
ABUW_2275,0,267,2133,945,3097,1842
ABUWs040,677,454,2778,4656,270,1697
ABUW_2276,2005,3295,4080,6081,3200,5309
sstT,375,5536,1256,1237,2513,3945
ABUW_2278,605,289,2664,1348,795,1853
ABUW_2279,150036,689,9767,16325,46006,28285
ABUW_2280,12306,147,615,468,220,286
ABUW_2281,85699,151,2449,925,625,1953
ABUW_2282,14032,70,338,221,205,576
gcvH,1022,489,1236,1109,1000,3542
npdA,7271,670,2087,2646,1973,1436
putP,1584,42,988,316,233,1065
ABUW_2286,8548,202,2140,785,434,2330
putA,8237,531,8850,4077,1248,9642
ABUW_2288,1590,110,654,359,229,411
trmA,3294,420,170,115,125,1096
ABUW_2290,2896,86,155,161,67,555
ABUW_2291,3158,0,0,0,0,0
ABUW_2292,519,420,773,642,692,910
ABUW_2293,474,134,209,243,251,597
ABUW_2294,0,6041,15781,20381,18146,36249
tkt,36,803,232,420,319,1848
metK,5170,289,1884,1307,1819,2449
ABUW_2297,135,655,1657,1028,5077,2406
ABUW_2298,2,352,3345,2145,1876,1775
fxsA,97,892,356,301,691,1131
bla-OXA-69,201,2577,4419,3302,3134,9607
yncA,147,218,2327,1667,488,3029
ABUW_2302,168,699,2640,1985,1053,2800
ABUW_2303,1141,269,1928,908,3223,1459
ruvC,2741,3,18,14,13,9
ABUW_2305,8,2,7,6,21,12
ABUW_2306,7888,0,0,0,0,0
bioB,631,2,1,0,76,51
ABUW_2308,21,65,7,0,57,779
ABUW_2309,103,2,0,0,4,71
ABUW_2310,83,0,0,0,0,0
ABUW_2311,92,0,0,0,0,0
ABUW_2312,1,0,0,0,0,0
ABUW_2313,89,0,0,0,0,0
ABUWs041,9853,0,0,0,0,0
ABUW_2314,11185,0,0,0,0,0
ABUW_2315,2074,4569,5762,2972,10472,5777
ABUW_2316,1415,281,919,510,341,686
ABUW_2317,2124,276,529,327,101,666
ABUW_2318,1327,311,813,441,391,1350
ABUW_2319,4050,333,1835,909,853,1153
ABUW_2320,10462,1634,5300,4051,9379,8136
ABUW_2321,4618,311,1547,1567,1465,1195
ABUW_2322,7148,944,21527,6412,6956,10486
ABUW_2323,1288,1386,80,149,290,1150
ABUW_2324,2338,41,91,93,111,238
ABUW_2325,8268,25,77,99,93,184
ABUW_2326,15987,161,479,592,327,1029
ABUW_2327,3589,0,0,0,0,2
ABUW_2328,2281,354,1611,1670,464,696
ABUW_2329,6303,1122,3667,3505,4977,2160
gltL,4306,39,30,45,39,89
gltK,4335,129,637,576,695,1289
gltJ,3370,1,4,5,0,3
gltI,2764,173609,377502,259636,116954,63579
ABUW_2334,5264,13262,57824,40957,48229,19848
ABUW_2335,3426,65009,145474,98011,74428,36975
ABUW_2336,5169,7846,14057,4091,10316,9860
ABUW_2337,1902,621,1047,608,1602,1007
metQ1,2564,6427,5637,3553,10073,2265
metQ2,5444,449,1465,1377,899,399
metN1,8445,3899,413,483,106,241
ABUW_2341,4890,1836,385,323,68,97
ychF,5134,621,50,53,27,14
ABUW_2343,15745,757,225,142,25,16
ABUW_2344,3433,243,216,131,46,33
ABUW_2345,11023,367,277,267,41,45
ABUW_2346,8830,93,758,328,336,393
ABUW_2347,8562,198,763,538,1713,614
ABUW_2348,194,0,2,5,0,0
ABUW_2349,3147,37,31,15,47,112
purT,4512,1,4,4,10,5
glnD,0,841,3534,2013,2861,1433
ABUW_2352,1175,30,489,346,236,154
ABUW_2353,1216,7,22,12,4,34
